NAME,,LINK
Achnatherum calamagrostis,Raugras Silber,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/achnatherum.htm
Acinos alpinus,Steinquendel Alpen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Lippenbluetler/steinquendel.htm
Acinos arvensis,Steinquendel Gewöhnlicher,http://www.blumeninschwaben.de/Zweikeimblaettrige/Lippenbluetler/steinquendel.htm
Aconitum carmichaelii,Eisenhut Chinesicher,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/eis_china.htm
Aconitum degenii,Eisenhut Rispen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/variegatum.htm
Aconitum lycoctonum,Eisenhut Gelber,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/eis_gelb.htm
Aconitum napellus,Eisenhut Blauer,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/napellus.htm
Aconitum pilipes,Eisenhut Behaarter,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/variegatum.htm
Aconitum plicatum,Eisenhut Sudeten,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/napellus.htm
Aconitum tauricum,Eisenhut Tauern,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/napellus.htm
Aconitum variegatum,Eisenhut Bunter,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/variegatum.htm
Aconogonon alpinum,Bergknöterich Alpen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Knoeterichgewaechse/aconogon.htm
Aconogonon campanulatum,Bergknöterich Glockenblütiger,http://www.blumeninschwaben.de/Zweikeimblaettrige/Knoeterichgewaechse/aconogon.htm
Aconogonon polystachyum,Bergknöterich Stutzblättriger,http://www.blumeninschwaben.de/Zweikeimblaettrige/Knoeterichgewaechse/aconogon.htm
Aconogonon weyrichii,Bergknöterich Weyrichs,http://www.blumeninschwaben.de/Zweikeimblaettrige/Knoeterichgewaechse/aconogon.htm
Aconogonon x fennicum,Bergknöterich Garten,http://www.blumeninschwaben.de/Zweikeimblaettrige/Knoeterichgewaechse/aconogon.htm
Acorus calamus,Kalmus,http://www.blumeninschwaben.de/Einkeimblaettrige/acorus.htm
Actaea racemosa,Silberkerze Trauben,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/actaea.htm
Actaea spicata,Christophskraut Schwarzfrüchtiges,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/actaea.htm
Actinidia arguta,Strahlengriffel Scharfzähniger,http://www.blumeninschwaben.de/Hauptgruppen/actinidia.htm
Actinidia deliciosa,Kiwi,http://www.blumeninschwaben.de/Hauptgruppen/actinidia.htm
Actinidia kolomikta,Strahlengriffel Amur,http://www.blumeninschwaben.de/Hauptgruppen/actinidia.htm
Adenophora liliifolia,Schellenblume Lilienblättrige,http://www.blumeninschwaben.de/Zweikeimblaettrige/Glockenblumen/adenophora.htm
Adenostyles alliariae,Alpendost Grauer,http://www.blumeninschwaben.de/Zweikeimblaettrige/Korbbluetler/RoteArten/alpendost.htm
Adenostyles alpina,Alpendost Kahler,http://www.blumeninschwaben.de/Zweikeimblaettrige/Korbbluetler/RoteArten/alpendost.htm
Adenostyles leucophylla,Alpendost Filziger,http://www.blumeninschwaben.de/Zweikeimblaettrige/Korbbluetler/RoteArten/alpendost.htm
Adiantum capillus- veneris,Frauenhaarfarn,http://www.blumeninschwaben.de/Sporenpflanzen/adiatum.htm
Adlumia fungosa,Doppelkappe,http://www.blumeninschwaben.de/Zweikeimblaettrige/Erdrauchgewaechse/adlumia.htm
Adonis aestivalis,Adonisröschen Sommer,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/adonisroeschen.htm
Adonis amurensis,Adonisröschen Amur,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/adonisroeschen.htm
Adonis annua,Adonisröschen Herbst,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/adonisroeschen.htm
Adonis brevistyla,Adonisröschen Kurzgriffeliges,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/adonisroeschen.htm
Adonis flammea,Adonisröschen Flammen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/adonisroeschen.htm
Adonis vernalis,Adonisröschen Frühlings,http://www.blumeninschwaben.de/Zweikeimblaettrige/Hahnenfuss/adonisroeschen.htm
Adoxa moschatellina,Moschuskraut,http://www.blumeninschwaben.de/Zweikeimblaettrige/Moschuskraut/adoxa.htm
Aegopodium podagraria,Giersch,http://www.blumeninschwaben.de/Zweikeimblaettrige/Doldenbluetler/giersch.htm
Aesculus flava,Rosskastanie Gelbe,http://www.blumeninschwaben.de/Hauptgruppen/rosskastanien.htm
Aesculus glabra,Rosskastanie Ohio,http://www.blumeninschwaben.de/Hauptgruppen/rosskastanien.htm
Aesculus pavia,Pavie,http://www.blumeninschwaben.de/Hauptgruppen/rosskastanien.htm
Aesculus hippocastanum,Rosskastanie Gewöhnliche,http://www.blumeninschwaben.de/Hauptgruppen/rosskastanien.htm
Aesculus x carnea,Rosskastanie Rote,http://www.blumeninschwaben.de/Hauptgruppen/rosskastanien.htm
Aethionema saxatile,Steintäschel Felsen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Kreuzbluetler/aethionema.htm
Aethusa cynapium,Hundspetersilie,http://www.blumeninschwaben.de/Zweikeimblaettrige/Doldenbluetler/aethusa2.htm
Agastache mexicana,Riesenysop Mexikanischer,http://www.blumeninschwaben.de/Zweikeimblaettrige/Lippenbluetler/agastache.htm
Agastache rugosa,Riesenysop Ostasiatischer,http://www.blumeninschwaben.de/Zweikeimblaettrige/Lippenbluetler/agastache.htm
Agastache x aurantiacum,Riesenysop Oranger,http://www.blumeninschwaben.de/Zweikeimblaettrige/Lippenbluetler/agastache.htm
Ageratum houstonianum,Leberbalsam Gewöhnlicher,http://www.blumeninschwaben.de/Zweikeimblaettrige/Korbbluetler/leberbalsam.htm
Agrimonia eupatoria,Odermennig Kleiner,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/odermennig.htm
Agrimonia procera,Odermennig Großer,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/odermennig.htm
Agrostemma githago,Kornrade Gewöhnliche,http://www.blumeninschwaben.de/Zweikeimblaettrige/Nelkengewaechse/rade.htm
Agrostemma gracile,Kornrade Zierliche,http://www.blumeninschwaben.de/Zweikeimblaettrige/Nelkengewaechse/rade.htm
Agrostis alpina,Straußgras Alpen,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/alpina_agg.htm
Agrostis agrostiflora,Straußgras Schilf,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/agrostis_ohne_granne.htm
Agrostis canina,Straußgras Hunds,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/canina_agg.htm
Agrostis capillaris,Straußgras Rotes,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/agrostis_ohne_granne.htm
Agrostis castellana,Straußgras Kastilisches,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/agrostis_mit_granne.htm
Agrostis gigantea,Straußgras Riesen,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/agrostis_ohne_granne.htm
Agrostis rupestris,Straußgras Felsen,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/agrostis_mit_granne.htm
Agrostis scabra,Straußgras Raues,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/agrostis_ohne_granne.htm
Agrostis schleicheri,Straußgras Schleichers,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/alpina_agg.htm
Agrostis stolonifera,Straußgras Weißes,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/agrostis_ohne_granne.htm
Agrostis vinealis,Straußgras Schmalrispiges,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/canina_agg.htm
Ailanthus altissima,Götterbaum Drüsiger,http://www.blumeninschwaben.de/Hauptgruppen/ailanthus.htm
Aira caryophyllea,Haferschmiele Nelken,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/aira_risp.htm
Aira elegans,Haferschmiele Haar,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/aira_risp.htm
Aira multiculmis,Haferschmiele Vielstängelige,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/aira_risp.htm
Aira praecox,Haferschmiele Frühe,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/aira_ahr.htm
Ajuga chamaepitys,Günsel Gelber,http://www.blumeninschwaben.de/Zweikeimblaettrige/Lippenbluetler/guensel.htm
Ajuga genevensis,Günsel Genfer,http://www.blumeninschwaben.de/Zweikeimblaettrige/Lippenbluetler/guensel.htm
Ajuga pyramidalis,Günsel Pyramiden,http://www.blumeninschwaben.de/Zweikeimblaettrige/Lippenbluetler/guensel.htm
Ajuga reptans,Günsel Kriechender,http://www.blumeninschwaben.de/Zweikeimblaettrige/Lippenbluetler/guensel.htm
Alcea biennis,Stockrose Blasse,http://www.blumeninschwaben.de/Zweikeimblaettrige/Malvengewaechse/stockros_rot.htm
Alcea rosea,Stockrose Garten,http://www.blumeninschwaben.de/Artenverzeichnis/stock_garten.htm
Alcea rugosa,Stockrose Gelbe,http://www.blumeninschwaben.de/Zweikeimblaettrige/Malvengewaechse/stockros_gelb.htm
Alchemilla alpigena,Frauenmantel Kalkalpen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/hoppeana_agg.htm
Alchemilla alpina,Frauenmantel Alpen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/hoppeana_agg.htm
Alchemilla erythropoda,Frauenmantel Rotstieliger,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/alch_kelch_haar.htm
Alchemilla fissa,Frauenmantel Zerschlitzter,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/kahle_alchemilla.htm
Alchemilla glabra,Frauenmantel Kahler,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/kahle_alchemilla.htm
Alchemilla glaucescens,Frauenmantel Filz,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/alch_kelch_haar.htm
Alchemilla hoppeana,Frauenmantel Hoppe,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/hoppeana_agg.htm
Alchemilla mollis,Frauenmantel Weicher,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/alche_gross.htm
Alchemilla monticola,Frauenmantel Bergwiesen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/alch_kelch_haar.htm
Alchemilla nitida,Frauenmantel Glanz,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/hoppeana_agg.htm
Alchemilla pentaphyllea,Frauenmantel Schneetälchen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/fraum_penta.htm
Alchemilla vulgaris,Frauenmantel Spitzlappiger,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/alche_gross.htm
Alchemilla pallens,Frauenmantel Blassgrüner,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/hoppeana_agg.htm
Alchemilla subcrenata,Frauenmantel Kerbzahn,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/alch_kelch_kahl.htm
Alchemilla xanthochlora,Frauenmantel Gelbgrüner,http://www.blumeninschwaben.de/Zweikeimblaettrige/Rosengewaechse/alche_gross.htm
Aldrovanda vesiculosa,Wasserfalle,http://www.blumeninschwaben.de/Zweikeimblaettrige/Sonnentau/aldrovanda.htm
Alisma gramineum,Froschlöffel Grasblättriger,http://www.blumeninschwaben.de/Einkeimblaettrige/Froschloeffelgewaechse/froschloeffel.htm
Alisma lanceolatum,Froschlöffel Lanzettblättriger,http://www.blumeninschwaben.de/Einkeimblaettrige/Froschloeffelgewaechse/froschloeffel.htm
Alisma plantago-aquatica,Froschlöffel Gewöhnlicher,http://www.blumeninschwaben.de/Einkeimblaettrige/Froschloeffelgewaechse/froschloeffel.htm
Alkanna orientalis,Alkanna Orientalische,http://www.blumeninschwaben.de/Zweikeimblaettrige/Boretschgewaechse/alkanna.htm
Alkanna tinctoria,Alkanna Schminkwurz,http://www.blumeninschwaben.de/Zweikeimblaettrige/Boretschgewaechse/alkanna.htm
Alliaria petiolata,Knoblauchsrauke,http://www.blumeninschwaben.de/Zweikeimblaettrige/Kreuzbluetler/alliaria.htm
Allium aflatunense,Lauch Iran,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/bluetenstand_gross.htm
Allium angulosum,Lauch Kantiger,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/bluete_klein.htm
Allium atropurpureum,Lauch Purpur,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/bluetenstand_gross.htm
Allium beesianum,Lauch Enzian,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/blau_lauch.htm
Allium caeruleum,Lauch Blauer,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/blau_lauch.htm
Allium caesium,Lauch Graublauer,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/blau_lauch.htm
Allium carinatum,Lauch Gekielter,http://www.blumeninschwaben.de/Artenverzeichnis/all_carinatum.htm
Allium cepa,Zwiebel Küchen-,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/lauch_kult.htm
Allium christophii,Lauch Sternkugel,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/bluetenstand_gross.htm
Allium fistulosum,Zwiebelröhrchen,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/lauch_kult.htm
Allium flavum,Lauch Gelber,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/gelb_lauch.htm
Allium giganteum,Lauch Riesen,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/bluetenstand_gross.htm
Allium lusitanicum,Lauch Berg,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/bluete_klein.htm
Allium karataviense,Lauch Blauzungen,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/ohne_bulb.htm
Allium macleanii,Lauch Hoher,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/bluetenstand_gross.htm
Allium moly,Lauch Gold,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/gelb_lauch.htm
Allium neapolitanum,Lauch Neapolitanischer,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/all_whit_breit.htm
Allium nigrum,Lauch Schwarzer,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/allium_nigrum.htm
Allium oleraceum,Lauch Ross,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/lauch_bulb_schmal.htm
Allium oreophilum,Lauch Zwerg- Rosen,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/Bluete gross.htm
Allium paradoxum,Lauch Seltsamer,http://www.blumeninschwaben.de/Artenverzeichnis/all_paradox.htm
Allium porrum,Lauch,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/lauch_kult.htm
Allium ramosum,Lauch Chinesischer,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/all_whit_schmal.htm
Allium roseum,Lauch Rosa,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/Bluete gross.htm
Allium rotundum,Lauch Runder,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/dunkelila_lauch.htm
Allium sativum,Lauch Knob-,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/lauch_bulb_weit.htm
Allium schoenoprasum,Lauch Schnitt-,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/allium_rosa.htm
Allium scorodoprasum,Lauch Schlangen,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/lauch_bulb_weit.htm
Allium sphaerocephalon,Lauch Kugelköpfiger,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/dunkelila_lauch.htm
Allium stipitatum,Lauch Stiel,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/bluetenstand_gross.htm
Allium strictum,Lauch Steifer,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/bluete_klein.htm
Allium suaveolens,Lauch Wohlriechender,http://www.blumeninschwaben.de/Artenverzeichnis/all_sua.htm
Allium triquetrum,Lauch Glöckchen,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/all_whit_breit.htm
Allium tuberosum,Schnittknoblauch,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/all_whit_schmal.htm
Allium unifolium,Lauch Einblättriger,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/Bluete gross.htm
Allium ursinum,Lauch Bär-,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/all_whit_breit.htm
Allium victorialis,Allermannsharnisch,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/lauch_st_schlank.htm
Allium vineale,Lauch Weinbergs,http://www.blumeninschwaben.de/Einkeimblaettrige/Liliengewaechse/lauch_bulb_schmal.htm
Alnus alnobetula,Erle Grün,http://www.blumeninschwaben.de/Hauptgruppen/erle.htm
Alnus cordata,Erle Herzblättrige,http://www.blumeninschwaben.de/Hauptgruppen/erle.htm
Alnus glutinosa,Erle Schwarz,http://www.blumeninschwaben.de/Hauptgruppen/erle.htm
Alnus incana,Erle Grau,http://www.blumeninschwaben.de/Hauptgruppen/erle.htm
Alnus rugosa,Erle Runzel,http://www.blumeninschwaben.de/Hauptgruppen/erle.htm
Alopecurus aequalis,Fuchsschwanz Rotgelbes,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/alu_knickig.htm
Alopecurus arundinaceus,Fuchsschwanzgras Rohr,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/alu_aufrecht.htm
Alopecurus bulbosus,Fuchsschwanzgras Zwiebel,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/fuchsschwanz.htm
Alopecurus geniculatus,Fuchsschwanzgras Knick,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/alu_knickig.htm
Alopecurus myosuroides,Fuchsschwanzgras Acker,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/alu_aufrecht.htm
Alopecurus pratensis,Fuchsschwanzgras Wiesen,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/alu_aufrecht.htm
Alopecurus rendlei,Fuchsschwanzgras Aufgeblasenes,http://www.blumeninschwaben.de/Einkeimblaettrige/Suessgraeser/alu_knickig.htm
Althaea cannabina,Eibisch Hanfblättriger,http://www.blumeninschwaben.de/Zweikeimblaettrige/Malvengewaechse/eibisch.htm
Althaea hirsuta,Eibisch Rauhaariger,http://www.blumeninschwaben.de/Zweikeimblaettrige/Malvengewaechse/eibisch.htm
Althaea officinalis,Eibisch Echter,http://www.blumeninschwaben.de/Zweikeimblaettrige/Malvengewaechse/eibisch.htm
Alyssum alyssoides,Steinkraut Kelch,http://www.blumeninschwaben.de/Zweikeimblaettrige/Kreuzbluetler/steinkraut_(alyssum).htm
Alyssum montanum,Steinkraut Berg,http://www.blumeninschwaben.de/Zweikeimblaettrige/Kreuzbluetler/steinkraut_(alyssum).htm
Alyssum murale,Steinkraut Mauer,http://www.blumeninschwaben.de/Zweikeimblaettrige/Kreuzbluetler/steinkraut_(alyssum).htm
Alyssum simplex,Steinkraut Kleines,http://www.blumeninschwaben.de/Zweikeimblaettrige/Kreuzbluetler/steinkraut_(alyssum).htm
Alyssum wulfenianum,Steinkraut Wulfen,http://www.blumeninschwaben.de/Zweikeimblaettrige/Kreuzbluetler/steinkraut_(alyssum).htm
Amaranthus acutilobus,Fuchsschwanz Spitzlappiger,http://www.blumeninschwaben.de/Zweikeimblaettrige/xKleineFamilien/amar_ausrand.htm
Amaranthus albus,Fuchsschwanz Weißer,http://www.blumeninschwaben.de/Zweikeimblaettrige/xKleineFamilien/amara_3.htm
Amaranthus blitoides,Fuchsschwanz Westamerikanischer,http://www.blumeninschwaben.de/Zweikeimblaettrige/xKleineFamilien/amar_stumpf.htm
Amaranthus blitum,Fuchsschwanz Aufsteigender,http://www.blumeninschwaben.de/Zweikeimblaettrige/xKleineFamilien/amar_vor_kurz.htm
Amaranthus bouchonii,Fuchsschwanz Bouchon,http://www.blumeninschwaben.de/Zweikeimblaettrige/xKleineFamilien/powellii.htm
Amaranthus caudatus,Fuchsschwanz Garten,http://www.blumeninschwaben.de/Zweikeimblaettrige/xKleineFamilien/amaranthus_rot.htm
Amaranthus crispus,Fuchsschwanz Krauser,http://www.blumeninschwaben.de/Zweikeimblaettrige/xKleineFamilien/crispus.htm
Amaranthus cruentus,Fuchsschwanz Rispiger,http://www.blumeninschwaben.de/Zweikeimblaettrige/xKleineFamilien/amaranthus_rot.htm
Amaranthus deflexus,Fuchsschwanz Herabgebogener,http://www.blumeninschwaben.de/Zweikeimblaettrige/xKleineFamilien/amar_vor_kurz.htm
